id,id_client,id_product,qtd,total,sale_date,cotacao_data,cotacao_vendas,product_name,category,start_date,usd_price
666,14,15,5,132524.05,2023-01-01,2022-12-30,5.2177,Radar Garmin Tidal Thrust,eletrônicos,2022-12-06,5325.4
4212,9,96,6,402538.75,2023-01-01,2022-12-30,5.2177,Motor de Popa Tohatsu Boost Swift 126HP,propulsão,2022-09-30,13063.42
1230,17,91,4,512566.8,2023-01-01,2022-12-30,5.2177,Motor Elétrico Tohatsu Zenith Oceanic 113HP,propulsão,2022-03-16,26303.31
4997,23,133,1,1893.0,2023-01-01,2022-12-30,5.2177,Âncora Bruce Core Pulse,ancoragem,2022-07-06,348.47
2300,30,95,9,596858.4,2023-01-01,2022-12-30,5.2177,Motor Diesel Honda Leviathan 133HP,propulsão,2022-11-23,12945.63
8211,14,67,3,257367.0,2023-01-01,2022-12-30,5.2177,Motor de Popa Yamaha Mako 108HP,propulsão,2022-06-17,16720.73
7765,30,22,2,74960.7,2023-01-01,2022-12-30,5.2177,Transponder Furuno Force Ion,eletrônicos,2022-08-22,7630.67
4294,7,44,5,51332.3,2023-01-01,2022-12-30,5.2177,GPS Simrad Zen Hydra Peak,eletrônicos,2022-01-17,1963.02
5256,19,78,12,1461139.0,2023-01-01,2022-12-30,5.2177,Motor Elétrico Honda Mako Axis 131HP,propulsão,2022-10-14,23053.04
3131,28,130,13,53873.0,2023-01-01,2022-12-30,5.2177,Boia de Arqueamento Delta Zen Boost Vortex,ancoragem,2021-03-22,749.89
3549,10,53,13,662886.25,2023-01-01,2022-12-30,5.2177,Motor Elétrico Torqeedo Zen Titan Hydra 129HP,propulsão,2022-07-19,9958.63
4286,33,18,7,176706.65,2023-01-02,2023-01-02,5.0721,Rádio Simrad Axis,eletrônicos,2022-01-25,4834.43
6175,36,50,13,146588.0,2023-01-02,2023-01-02,5.0721,Piloto Automático Simrad Poseidon Magnum,eletrônicos,2020-12-23,2179.61
4996,24,29,9,328593.0,2023-01-02,2023-01-02,5.0721,Rádio Simrad Orca,eletrônicos,2022-03-29,7689.63
